排名,单词,词频,梯队,释义,分类,子分类,真题搭配,其他拼写,备注
46,work,3364,核心高频,工作,动作行为,身体动作,,,
47,which,3351,核心高频,哪个、什么样的,抽象概念,基础功能词,,,
48,when,3272,核心高频,当,时间日期,,,,
49,should,3190,核心高频,应该,动作行为,其他动作,,,
50,part,3133,核心高频,部分,人类与社会,,,,
51,your,3121,核心高频,你的,人类与社会,,,,
52,use,3066,核心高频,使用,动作行为,使动与影响,,,
53,all,3043,核心高频,一切,抽象概念,数量与程度,,,
54,follow,3014,核心高频,跟随,动作行为,心理活动,,,
55,she,2960,核心高频,她,人类与社会,,,,
56,who,2954,核心高频,谁,人类与社会,,,,
57,each,2924,核心高频,每个,抽象概念,数量与程度,,,
58,some,2923,核心高频,一些,抽象概念,数量与程度,,,
59,other,2891,核心高频,其他,抽象概念,性质与评价,,,
60,if,2794,核心高频,如果、是否,抽象概念,逻辑与关系,,,
61,year,2791,核心高频,年,时间日期,,,,
62,write,2693,核心高频,写,动作行为,身体动作,,,
63,new,2672,核心高频,新的,抽象概念,性质与评价,,,
64,section,2670,核心高频,部分、地段,教育学习,,,,
65,its,2572,核心高频,它的,抽象概念,基础功能词,,,
66,word,2552,核心高频,说话、单词,教育学习,,,,
67,mark,2548,核心高频,标记,动作行为,身体动作,mark a turning point,,
68,may,2528,核心高频,可能、祝,抽象概念,基础功能词,,,
69,take,2496,核心高频,拿走、携带,动作行为,身体动作,,,
70,many,2493,核心高频,很多,抽象概念,数量与程度,,,
71,most,2477,核心高频,最多的、大多数的,抽象概念,数量与程度,,,
72,read,2475,核心高频,读,动作行为,心理活动,,,
73,up,2454,核心高频,在...上、完成,空间地点,,,,
74,her,2437,核心高频,她的,人类与社会,,,,
75,only,2425,核心高频,仅仅,抽象概念,数量与程度,,,
76,would,2396,核心高频,愿意,动作行为,其他动作,,,
77,go,2394,核心高频,去,动作行为,身体动作,,,
78,hear,2376,核心高频,听到,动作行为,身体动作,,,
79,give,2373,核心高频,给,动作行为,使动与影响,,,
80,base,2332,核心高频,基础、基地,空间地点,,,,
81,no,2321,核心高频,否定,抽象概念,数量与程度,,,
82,so,2281,核心高频,因此,抽象概念,逻辑与关系,,,
83,get,2258,核心高频,得到,动作行为,使动与影响,,,
84,two,2241,核心高频,二,时间日期,,,,
85,student,2205,核心高频,学生,教育学习,,,,
86,our,2178,核心高频,我们的,人类与社会,,,,
87,out,2168,核心高频,出去、外面,空间地点,,,,
88,just,2152,核心高频,只、仅仅,抽象概念,逻辑与关系,,,
89,child,2149,核心高频,孩子,人类与社会,,,,
90,how,2125,核心高频,如何,抽象概念,逻辑与关系,,,
91,find,2070,核心高频,发现,动作行为,评价与判断,,,
92,way,2033,核心高频,方式,空间地点,,,,
93,into,2016,核心高频,进入内部,空间地点,,,,
94,because,1932,核心高频,因为,抽象概念,逻辑与关系,,,
95,sheet,1929,核心高频,被单、（一）张、纸,日常生活,,,,
96,man,1925,核心高频,男人,人类与社会,,,,
97,like,1918,核心高频,喜欢、像,动作行为,其他动作,,,
98,through,1912,核心高频,通过、穿过,空间地点,,,,
99,woman,1908,核心高频,女人,人类与社会,,,,
100,school,1862,核心高频,学校,教育学习,,a school of thought,,
101,think,1845,核心高频,认为,动作行为,心理活动,,,
102,world,1842,核心高频,世界,自然环境,,,,
103,choice,1823,核心高频,选择,抽象概念,认知与抽象名词,,,
104,change,1810,核心高频,改变,动作行为,变化趋势,,,
105,direction,1778,核心高频,方向、指令,空间地点,,,,
106,much,1727,核心高频,许多的、非常,抽象概念,数量与程度,,,
107,life,1722,核心高频,生命、人生,人类与社会,,,,
108,long,1714,核心高频,长,抽象概念,数量与程度,,,
109,study,1669,核心高频,学习,教育学习,,,,
110,need,1667,核心高频,需要,动作行为,其他动作,,,
111,first,1659,核心高频,第一,抽象概念,数量与程度,,,
112,help,1637,核心高频,帮助,动作行为,身体动作,,,
113,four,1617,核心高频,四,时间日期,,,,
114,job,1606,核心高频,工作,职业工作,,,,
115,learn,1597,核心高频,学习、了解,动作行为,身体动作,,,
116,high,1585,核心高频,高的、高,抽象概念,性质与评价,,,
117,now,1575,核心高频,现在,时间日期,,,,
118,good,1571,核心高频,好的、货物,抽象概念,性质与评价,,,
119,over,1554,核心高频,在…上方、结束,空间地点,,,,
120,then,1539,核心高频,然后,时间日期,,,,
121,minute,1538,核心高频,分钟、微小的,时间日期,,minute details,,
122,after,1528,核心高频,在…之后,时间日期,,,,
123,live,1524,核心高频,住、生活,动作行为,其他动作,,,
124,know,1511,核心高频,知道,动作行为,心理活动,,,
125,line,1511,核心高频,排队、线,空间地点,,,,
126,these,1504,核心高频,这些、这些人,抽象概念,基础功能词,,,
127,become,1500,核心高频,成为、适宜,动作行为,起始与终止,,,
128,author,1492,核心高频,作者,职业工作,,the author of the plan,,
129,could,1479,核心高频,能够,动作行为,评价与判断,,,
130,even,1465,核心高频,甚至,抽象概念,逻辑与关系,,,
131,also,1446,核心高频,也,抽象概念,逻辑与关系,,,
132,come,1430,核心高频,来,动作行为,变化趋势,,,
133,such,1424,核心高频,这样的,抽象概念,性质与评价,,,
134,mean,1424,核心高频,意思是、意味着,动作行为,身体动作,the mean value,,
135,letter,1422,核心高频,信件,教育学习,,,,
136,see,1402,核心高频,看,动作行为,身体动作,,,
137,three,1345,核心高频,三,时间日期,,,,
138,those,1332,核心高频,那些,抽象概念,基础功能词,,,
139,end,1303,核心高频,结束,时间日期,,,,
140,once,1271,核心高频,曾经、一次,时间日期,,,,
141,company,1267,核心高频,公司、陪伴,商业经济,,keep sb. company,,
142,conversation,1254,核心高频,对话,情感心理,,,converzation,
143,problem,1246,核心高频,问题,教育学习,,,,
144,university,1246,核心高频,大学,教育学习,,,,
145,human,1245,核心高频,人,人类与社会,,,,
146,state,1234,核心高频,陈述、状态,空间地点,,state clearly that,,
147,want,1234,核心高频,想要,动作行为,身体动作,,,
148,must,1218,核心高频,必须,动作行为,其他动作,,,
149,food,1217,核心高频,食物,食物营养,,,,
150,country,1204,核心高频,国家,空间地点,,,,
151,choose,1201,核心高频,选择,动作行为,评价与判断,,,
152,any,1199,核心高频,任何,抽象概念,数量与程度,,,
153,my,1197,核心高频,我的,人类与社会,,,,
154,day,1194,核心高频,日子,时间日期,,,,
155,less,1190,核心高频,更少,抽象概念,数量与程度,,,
156,accord,1184,核心高频,协议、符合,情感心理,,,,
157,show,1177,核心高频,展示、展现,动作行为,其他动作,,,
158,both,1172,核心高频,两者,抽象概念,数量与程度,,,
159,social,1170,核心高频,社会的、交际的,人类与社会,,,,
160,very,1167,核心高频,非常,抽象概念,数量与程度,,,
161,great,1166,核心高频,巨大的,抽象概念,数量与程度,,,
162,thing,1151,核心高频,事情,抽象概念,认知与抽象名词,,,
163,information,1146,核心高频,信息,科学技术,,,,
164,look,1145,核心高频,看,动作行为,身体动作,,,
165,too,1138,核心高频,太…、也,抽象概念,数量与程度,,,
166,business,1128,核心高频,商业,商业经济,,,,
167,between,1116,核心高频,在…之间,空间地点,,,,
168,research,1115,核心高频,研究,动作行为,其他动作,,,
169,before,1103,核心高频,在…之前,时间日期,,,,
170,number,1090,核心高频,数字,商业经济,,,,
171,single,1084,核心高频,单一的,抽象概念,性质与评价,,,
172,own,1078,核心高频,拥有,动作行为,占有与转移,,,
173,feel,1077,核心高频,感觉,动作行为,身体动作,,,
174,family,1070,核心高频,家庭,人类与社会,,,,
175,often,1047,核心高频,经常,时间日期,,,,
176,old,1044,核心高频,老的,时间日期,,,,
177,parent,1044,核心高频,父母,人类与社会,,,,
178,increase,1040,核心高频,增加,动作行为,变化趋势,,,
179,paragraph,1031,核心高频,段落,教育学习,,,,
180,provide,1013,核心高频,提供,动作行为,身体动作,,,
181,few,1011,核心高频,很少,抽象概念,数量与程度,,,
182,home,1009,核心高频,家,日常生活,,,,
183,while,1003,核心高频,当…时、而、尽管,时间日期,,,,
184,different,994,核心高频,不同的,抽象概念,性质与评价,,,
185,point,982,核心高频,点、指,动作行为,其他动作,,,
186,last,982,核心高频,最后的、持续,时间日期,,last for decades,,
187,text,975,核心高频,文本,教育学习,,,,
188,correspond,968,核心高频,相符合、相当,动作行为,其他动作,correspond to / with,,
189,education,958,核心高频,教育,教育学习,,,,
190,place,943,核心高频,放置、地点,空间地点,,,,
191,pay,934,核心高频,支付,动作行为,心理活动,,,
192,language,928,核心高频,语言、风格,文化宗教,,,,
193,still,926,核心高频,仍然,时间日期,,,,
194,keep,919,核心高频,保持,动作行为,身体动作,,,
195,where,899,核心高频,哪里,空间地点,,,,
196,book,898,核心高频,预定、书籍,教育学习,,,,
197,government,890,核心高频,政府,政治法律,,,,
198,college,885,核心高频,大学,教育学习,,,,
199,second,885,核心高频,第二的、次等的,时间日期,,second a motion,,
200,listen,883,核心高频,听,动作行为,身体动作,,,
201,why,880,核心高频,为什么,抽象概念,逻辑与关系,,,
202,system,878,核心高频,系统,科学技术,,,,
203,put,867,核心高频,放,动作行为,身体动作,,,
204,blank,866,核心高频,空白的、失色的,抽象概念,性质与评价,,,
205,might,847,核心高频,可能,动作行为,其他动作,,,
206,result,846,核心高频,结果,动作行为,使动与影响,,,
207,try,846,核心高频,尝试,动作行为,身体动作,,,
208,money,841,核心高频,钱,商业经济,,,,
209,ask,839,核心高频,问,动作行为,社交交互,,,
210,seem,833,核心高频,似乎,动作行为,其他动作,,,
211,speak,832,核心高频,说,动作行为,身体动作,,,
212,news,830,核心高频,新闻,文化宗教,,,,
213,example,822,核心高频,例子,教育学习,,,,
214,same,820,核心高频,同样的,抽象概念,性质与评价,,,
215,important,816,核心高频,重要的,抽象概念,性质与评价,,,
216,right,813,核心高频,正确的、权利,抽象概念,性质与评价,,,
217,report,810,核心高频,报告,动作行为,社交交互,,,
218,believe,806,核心高频,相信,动作行为,心理活动,,,
219,computer,801,核心高频,电脑,科学技术,,,,
220,public,800,核心高频,公众的,政治法律,,,,
221,health,796,核心高频,健康,健康医疗,,,,
222,far,794,核心高频,远的,空间地点,,,,
223,young,793,核心高频,年轻的,人类与社会,,,,
224,large,790,核心高频,大的,抽象概念,数量与程度,,,
225,call,790,核心高频,打电话,动作行为,身体动作,,,
226,city,789,核心高频,城市,空间地点,,,,
227,develop,788,核心高频,发展,动作行为,变化趋势,,,
228,start,786,核心高频,开始,动作行为,身体动作,,,
229,another,782,核心高频,另一个,抽象概念,数量与程度,,,
230,centre,782,核心高频,中心、中央,空间地点,,,center,
231,idea,780,核心高频,想法,抽象概念,认知与抽象名词,,,
232,during,780,核心高频,在…期间,时间日期,,,,
233,science,773,核心高频,科学,科学技术,,,,
234,allow,773,核心高频,允许,动作行为,心理活动,,,
235,age,771,核心高频,年龄,时间日期,,,,
236,leave,769,核心高频,离开,动作行为,身体动作,,,
237,every,769,核心高频,每个,抽象概念,数量与程度,,,
238,talk,768,核心高频,说,动作行为,社交交互,,,
239,require,767,核心高频,需要、要求,动作行为,社交交互,,,
240,car,765,核心高频,车,交通旅行,,,,
241,statement,764,核心高频,声明,抽象概念,认知与抽象名词,,,
242,society,761,核心高频,社会,人类与社会,,,,
243,short,756,核心高频,短,抽象概念,性质与评价,,,
244,cause,754,核心高频,造成,动作行为,使动与影响,,,
245,down,748,核心高频,在…下面、情绪低落,空间地点,,,,
246,technology,746,核心高频,技术、工艺,科学技术,,,,
247,grow,734,核心高频,成长、增长,动作行为,变化趋势,,,
248,sentence,732,核心高频,句子、判决,动作行为,其他动作,be sentenced to,,
249,without,731,核心高频,没有,空间地点,,,,
250,hour,728,核心高频,小时,时间日期,,,,
251,back,721,核心高频,背面、后退,人类与社会,,,,
252,economic,715,核心高频,经济上的,商业经济,,,,
253,big,713,核心高频,大,抽象概念,数量与程度,,,
254,begin,707,核心高频,开始,动作行为,身体动作,,,
255,lead,707,核心高频,带领,动作行为,使动与影响,the lead,,
256,build,706,核心高频,建造,动作行为,身体动作,,,
257,early,704,核心高频,早期的,时间日期,,,,
258,off,700,核心高频,关闭、不在原处,空间地点,,,,
259,spend,689,核心高频,花,动作行为,占有与转移,,,
260,little,688,核心高频,少、小,抽象概念,数量与程度,,,
261,bank,687,核心高频,银行,商业经济,,the river bank,,
262,hard,686,核心高频,困难的,抽象概念,性质与评价,,,
263,cost,682,核心高频,花费,商业经济,,,,
264,class,682,核心高频,班级,教育学习,,,,
265,group,681,核心高频,小组,人类与社会,,,,
266,price,677,核心高频,价格,商业经济,,,,
267,effect,676,核心高频,效果,抽象概念,认知与抽象名词,,,
268,comprehension,673,核心高频,理解,抽象概念,认知与抽象名词,,,
269,today,672,核心高频,在今天、现今,时间日期,,,,
270,tell,671,核心高频,告诉,动作行为,社交交互,tell A from B,,
271,set,665,核心高频,设定,动作行为,身体动作,,,
272,something,662,核心高频,某事,抽象概念,数量与程度,,,
273,play,660,核心高频,玩、扮演、戏剧,运动娱乐,,,,
274,likely,659,核心高频,很可能的、大概,抽象概念,性质与评价,,,
275,turn,658,核心高频,翻转,动作行为,身体动作,,,
276,course,657,核心高频,课程,教育学习,,in the course of,corse,
277,buy,656,核心高频,购买,商业经济,,,,
278,understand,655,核心高频,理解,动作行为,身体动作,,,
279,offer,649,核心高频,提供,动作行为,身体动作,,,
280,service,648,核心高频,服务、公共设施,商业经济,,,,
281,small,647,核心高频,小的,抽象概念,数量与程度,,,
282,product,644,核心高频,产品,商业经济,,,,
283,experience,639,核心高频,经历,动作行为,其他动作,,,
284,suggest,637,核心高频,建议,动作行为,身体动作,,,
285,decide,632,核心高频,决定,动作行为,心理活动,,,
286,test,627,核心高频,测试,动作行为,评价与判断,,,
287,scientist,625,核心高频,科学家,职业工作,,,,
288,bring,623,核心高频,带来,动作行为,身体动作,,,
289,since,622,核心高频,自从、因为、既然,时间日期,,,,
290,however,621,核心高频,但是、然而,抽象概念,逻辑与关系,,,
291,person,620,核心高频,人,人类与社会,,,,
292,teacher,619,核心高频,教师,职业工作,,,,
293,around,617,核心高频,周围、环绕,空间地点,,,,
294,whether,615,核心高频,是否,抽象概念,逻辑与关系,,,
295,future,613,核心高频,未来,时间日期,,,,
296,reason,611,核心高频,理由,动作行为,身体动作,human reason,,
297,view,610,核心高频,景观,动作行为,身体动作,,,
298,water,610,核心高频,水,自然环境,,,,
299,improve,608,核心高频,改进、提高,动作行为,变化趋势,,,
300,care,607,核心高频,关心、在意,动作行为,其他动作,,,
301,benefit,604,核心高频,益处、好处,商业经济,,,,
302,low,604,核心高频,低的,抽象概念,性质与评价,,,
303,program,603,核心高频,项目,科学技术,,,programme,
304,worker,601,核心高频,工人,职业工作,,,,
305,market,600,核心高频,市场,商业经济,,,,
306,teach,598,核心高频,教,动作行为,社交交互,,,
307,support,596,核心高频,支持,动作行为,社交交互,,,
308,among,594,核心高频,在……之中,空间地点,,,,
309,kind,593,核心高频,仁慈的、种类,情感心理,,,,
310,friend,589,核心高频,朋友,人类与社会,,,,
311,skill,588,核心高频,技术,抽象概念,认知与抽象名词,,,
312,yet,587,核心高频,然而,时间日期,,,,
313,form,585,核心高频,形式、形成,抽象概念,认知与抽象名词,,,
314,include,582,核心高频,包括,动作行为,使动与影响,,,
315,move,582,核心高频,移动,动作行为,其他动作,,,
316,rather,581,核心高频,相当的,抽象概念,数量与程度,,,
317,create,581,核心高频,创造,动作行为,身体动作,,,
318,never,581,核心高频,从不,时间日期,,,,
319,century,577,核心高频,世纪,时间日期,,,,
320,bad,575,核心高频,坏的,抽象概念,性质与评价,,,
321,eat,571,核心高频,吃,食物营养,,,,
322,always,570,核心高频,总是,时间日期,,,,
323,least,570,核心高频,最小的、最少的,抽象概念,数量与程度,,,
324,face,567,核心高频,面对,人类与社会,,,,
325,plan,564,核心高频,计划,动作行为,心理活动,,,
326,consider,560,核心高频,考虑,动作行为,心理活动,,,
327,industry,559,核心高频,工业、行业,商业经济,,,,
328,themselves,556,核心高频,他们自己、他们亲自,人类与社会,,,,
329,process,554,核心高频,过程、进程,科学技术,,processed food,,
330,rate,553,核心高频,比率,商业经济,,,,
331,fact,551,核心高频,事实,抽象概念,认知与抽象名词,,,
332,house,550,核心高频,房子,日常生活,,,,
333,culture,549,核心高频,文化,文化宗教,,,,
334,power,547,核心高频,力、功率,科学技术,,,,
335,share,545,核心高频,分享,动作行为,占有与转移,,,
336,area,542,核心高频,地区、范围,空间地点,,,,
337,million,540,核心高频,百万,商业经济,,,,
338,lot,536,核心高频,很、许多,抽象概念,数量与程度,,,
339,sense,535,核心高频,感觉,抽象概念,认知与抽象名词,,,
340,lose,530,核心高频,失去、失败,动作行为,身体动作,,,
341,against,528,核心高频,相对、相反,空间地点,,,,
342,rise,528,核心高频,上升,动作行为,身体动作,,rize,
343,energy,526,核心高频,精力,科学技术,,,,
344,control,524,核心高频,控制,动作行为,社交交互,,,
345,space,523,核心高频,空间,自然环境,,,,
346,case,521,核心高频,情况,抽象概念,认知与抽象名词,,,
347,hold,518,核心高频,握着、坚持,动作行为,身体动作,,,
348,possible,518,核心高频,可能的,抽象概念,性质与评价,,,
349,ability,514,核心高频,能力,抽象概念,认知与抽象名词,,,
350,animal,511,核心高频,动物,自然环境,,,,
351,enough,511,核心高频,足够,抽象概念,数量与程度,,,
352,value,510,核心高频,价值,商业经济,,,,
353,role,507,核心高频,角色,职业工作,,,,
354,week,505,核心高频,周末,时间日期,,,,
355,individual,503,核心高频,个人的、独特的,人类与社会,,,,
356,hand,502,核心高频,手,人类与社会,,,,
357,open,501,核心高频,打开,动作行为,身体动作,,,
358,ten,500,核心高频,十,时间日期,,,,
359,term,497,核心高频,条款、期限,教育学习,,in terms of,,
360,away,496,核心高频,离开,空间地点,,,,
361,happen,493,核心高频,发生,动作行为,身体动作,,,
362,fall,492,核心高频,下降、掉落,动作行为,变化趋势,,,
363,self,491,核心高频,自我、自己,人类与社会,,,,
364,art,491,核心高频,艺术,文化宗教,,,,
365,decision,490,核心高频,决定、决议,抽象概念,认知与抽象名词,,,
366,interest,490,核心高频,兴趣,情感心理,,,,
367,drive,490,核心高频,驾驶、驱使,动作行为,身体动作,,,
368,issue,489,核心高频,问题、期刊、发布,动作行为,身体动作,the latest issue,,
369,produce,489,核心高频,生产,动作行为,身体动作,,,
370,complete,488,核心高频,完全地,动作行为,使动与影响,,,
371,under,487,核心高频,在…之下,空间地点,,,,
372,activity,485,核心高频,活跃、活动,运动娱乐,,,,
373,national,481,核心高频,国家的,政治法律,,,,
374,brain,481,核心高频,大脑,人类与社会,,,,
375,level,481,核心高频,水平、等级,抽象概念,数量与程度,,,
376,able,479,核心高频,有能力的,抽象概念,性质与评价,,,
377,run,477,核心高频,跑步、运转,动作行为,身体动作,run a business,,
378,past,476,核心高频,过去的,时间日期,,,,
379,win,476,核心高频,赢,动作行为,占有与转移,,,
380,present,474,核心高频,呈现、提出、礼物、现在,时间日期,,present an argument,,
381,quality,474,核心高频,质量,抽象概念,认知与抽象名词,,,
382,difficult,473,核心高频,困难的,抽象概念,性质与评价,,,
383,easy,470,核心高频,容易的,抽象概念,性质与评价,,,
384,tend,469,核心高频,趋向于、照料,动作行为,身体动作,,,
385,reduce,469,核心高频,减少,动作行为,身体动作,,,
386,five,467,核心高频,五,时间日期,,,,
387,expect,463,核心高频,预料、期待,动作行为,身体动作,,,
388,order,462,核心高频,订单、命令、顺序,动作行为,社交交互,social order,,
389,law,459,核心高频,法律、法则,政治法律,,,,
390,environment,459,核心高频,环境、自然环境,自然环境,,,,
391,paper,458,核心高频,纸、试卷,教育学习,,,,
392,mind,457,核心高频,思维、想法,动作行为,心理活动,,,
393,kid,457,核心高频,孩子,人类与社会,,,,
394,economy,454,核心高频,经济,商业经济,,,,
395,percent,454,核心高频,百分之的,商业经济,,,,
396,sleep,454,核心高频,睡眠,健康医疗,,,,
397,recent,453,核心高频,近来的,时间日期,,,,
398,half,450,核心高频,一半,抽象概念,数量与程度,,,
399,close,448,核心高频,关闭、近,动作行为,起始与终止,,,
400,attention,445,核心高频,注意,情感心理,,,,
401,poor,445,核心高频,贫穷的、可怜的、糟糕的,抽象概念,性质与评价,,,
402,free,445,核心高频,自由的,抽象概念,性质与评价,,,
403,body,442,核心高频,身体,人类与社会,,,,
404,measure,441,核心高频,衡量、测量,动作行为,评价与判断,,,
405,office,441,核心高频,办公室,职业工作,,,,
406,travel,441,核心高频,旅行,交通旅行,,,,
407,major,440,核心高频,主要的,抽象概念,性质与评价,,,
408,professor,440,核心高频,教授,职业工作,,,,
409,natural,439,核心高频,自然的,自然环境,,,,
410,remain,438,核心高频,保持,动作行为,其他动作,,,
411,though,435,核心高频,尽管,抽象概念,逻辑与关系,,,
412,next,434,核心高频,下一个,时间日期,,,,
413,design,430,核心高频,设计,动作行为,其他动作,,,
414,history,429,核心高频,历史,时间日期,,,,
415,nation,428,核心高频,国家,空间地点,,,,
416,real,426,核心高频,真的,抽象概念,性质与评价,,,
417,almost,425,核心高频,几乎,时间日期,,,,
418,customer,424,核心高频,顾客,商业经济,,,,
419,subject,424,核心高频,科目,教育学习,,be subject to change,,
420,ago,422,核心高频,以前,时间日期,,,,
421,focus,419,核心高频,聚焦、焦点,动作行为,心理活动,,,
422,local,419,核心高频,当地的,空间地点,,,,
423,really,418,核心高频,确实,抽象概念,数量与程度,,,
424,certain,417,核心高频,确定的,抽象概念,性质与评价,,,
425,ever,417,核心高频,从来,时间日期,,,,
426,success,417,核心高频,成功,抽象概念,认知与抽象名词,,,
427,late,416,核心高频,晚的,时间日期,,,,
428,true,414,核心高频,真实,抽象概念,性质与评价,,,
429,name,412,核心高频,名称、命名,人类与社会,,,,
430,knowledge,412,核心高频,知识,教育学习,,,,
431,stress,411,核心高频,压力,动作行为,身体动作,,,
432,matter,411,核心高频,事情、问题、重要,动作行为,身体动作,it matters little,,
433,involve,410,核心高频,涉及,动作行为,身体动作,,,
434,raise,410,核心高频,举起、提出,动作行为,身体动作,,raize,
435,identify,410,核心高频,识别、鉴定,动作行为,身体动作,identify with 认同,,
436,stay,404,核心高频,保持、停留,动作行为,起始与终止,,,
437,population,402,核心高频,人口,人类与社会,,,,
438,risk,402,核心高频,风险,动作行为,其他动作,,,
439,medium,401,核心高频,中等的、媒介,科学技术,,,,
440,lack,400,核心高频,缺乏,动作行为,占有与转移,,,
441,strong,400,核心高频,强壮的、强烈的,抽象概念,性质与评价,,,
442,fill,400,核心高频,填,动作行为,其他动作,,,
443,patient,399,核心高频,有耐心的、病人,健康医疗,,,,
444,rule,397,核心高频,规则,动作行为,社交交互,,,
445,until,397,核心高频,直到,时间日期,,,,
446,continue,396,核心高频,继续,动作行为,身体动作,,,
447,receive,396,核心高频,收到,动作行为,社交交互,,,
448,already,395,核心高频,已经,时间日期,,,,
449,record,395,核心高频,记录,动作行为,身体动作,,,
450,employee,395,核心高频,雇工,职业工作,,,employe,
451,sell,394,核心高频,卖,商业经济,,,,
452,note,393,核心高频,笔记,动作行为,身体动作,,,
453,month,393,核心高频,月,时间日期,,,,
454,community,392,核心高频,社区、共同体,人类与社会,,,,
455,demand,391,核心高频,要求,动作行为,占有与转移,,,
456,personal,391,核心高频,个人的,人类与社会,,,,
457,instead,390,核心高频,反而,抽象概念,逻辑与关系,,,
458,challenge,389,核心高频,挑战,动作行为,社交交互,,,
459,store,389,核心高频,存储、商店,商业经济,,,,
460,check,388,核心高频,检查,动作行为,评价与判断,,cheque,
461,deal,387,核心高频,处理,动作行为,占有与转移,,,
462,opportunity,387,核心高频,机会,时间日期,,,,
463,relationship,387,核心高频,关系,人类与社会,,,,
464,list,386,核心高频,清单,教育学习,,,,
465,usually,386,核心高频,通常、平常,时间日期,,,,
466,average,385,核心高频,平均的,抽象概念,数量与程度,,,
467,although,384,核心高频,尽管,抽象概念,逻辑与关系,,,
468,eye,384,核心高频,眼睛,人类与社会,,,,
469,break,384,核心高频,打破,动作行为,身体动作,,,
470,fast,383,核心高频,快,抽象概念,性质与评价,,,
471,common,382,核心高频,普通的,抽象概念,性质与评价,,,
472,condition,382,核心高频,条件、情况,抽象概念,认知与抽象名词,,,
473,behavior,381,核心高频,行为,情感心理,,,behaviour,
474,global,381,核心高频,全球的,抽象概念,性质与评价,,,
475,within,379,核心高频,内部,空间地点,,,,
476,difference,379,核心高频,不同,抽象概念,认知与抽象名词,,,
477,light,378,核心高频,点亮、轻的,科学技术,,,,
478,growth,374,核心高频,生长,科学技术,,,,
479,shop,374,核心高频,购物,日常生活,,,,
480,meet,374,核心高频,遇见、会见,动作行为,使动与影响,,,
481,concern,373,核心高频,关心、涉及,动作行为,身体动作,a going concern,,
482,task,373,核心高频,任务,教育学习,,,,
483,scientific,371,核心高频,科学的、细致严谨的,科学技术,,,,
484,effort,371,核心高频,努力,动作行为,身体动作,,,
485,plant,369,核心高频,植物、工厂,自然环境,,a manufacturing plant,,
486,encourage,366,核心高频,鼓励、发展,动作行为,使动与影响,,encorage,
487,career,364,核心高频,职业,职业工作,,,,
488,fail,363,核心高频,衰退、破产,动作行为,变化趋势,,,
489,influence,362,核心高频,影响,动作行为,使动与影响,,,
490,avoid,362,核心高频,避免,动作行为,使动与影响,,,
491,music,361,核心高频,音乐,运动娱乐,,,,
492,add,360,核心高频,增加,动作行为,身体动作,,,
